,cash,cash_weight
2010-05-05,-9.494627306594339e-13,-9.272374763995563e-17
2010-05-06,-9.494627306594339e-13,-9.281156724662418e-17
2010-05-07,-9.494627306594339e-13,-9.264474973025352e-17
2010-05-10,-1.5374368445009168e-12,-1.4994679787499562e-16
2010-05-11,-1.5374368445009168e-12,-1.4998477088478965e-16
2010-05-12,-1.5374368445009168e-12,-1.4976508580390297e-16
2010-05-13,-1.5374368445009168e-12,-1.4956216459751393e-16
2010-05-14,-1.5374368445009168e-12,-1.4958571339642898e-16
2010-05-17,-2.8395064077813004e-12,-2.7640769461468366e-16
2010-05-18,-2.8395064077813004e-12,-2.760402006511692e-16
2010-05-19,-2.8395064077813004e-12,-2.7567816757377147e-16
2010-05-20,-2.8395064077813004e-12,-2.760022572430878e-16
2010-05-21,-2.8395064077813004e-12,-2.7585044174247325e-16
2010-05-24,-2.9842794901924208e-12,-2.8963883447020543e-16
2010-05-25,-2.9842794901924208e-12,-2.898118350350486e-16
2010-05-26,-2.9842794901924208e-12,-2.8963665020427284e-16
2010-05-27,-2.9842794901924208e-12,-2.895490244516309e-16
2010-05-28,-2.9842794901924208e-12,-2.8959325255173285e-16
2010-05-31,-2.2160051571518125e-12,-2.1517767935085834e-16
2010-06-01,-1.5512036100062687e-12,-1.507515290297615e-16
2010-06-02,-1.5512036100062687e-12,-1.5069643926666725e-16
2010-06-03,-1.5512036100062687e-12,-1.506174288101716e-16
2010-06-04,-1.5512036100062687e-12,-1.5062899399422394e-16
2010-06-07,-6.405986852087153e-13,-6.218479876659537e-17
2010-06-08,-6.405986852087153e-13,-6.21583930609814e-17
2010-06-09,-6.405986852087153e-13,-6.211216367348037e-17
2010-06-10,-6.405986852087153e-13,-6.215629388195147e-17
2010-06-11,-6.405986852087153e-13,-6.219180040943203e-17
2010-06-17,-1.0160761121369433e-12,-9.856745182915831e-17
2010-06-18,-1.0160761121369433e-12,-9.877496717287259e-17
2010-06-21,5.186961971048731e-13,5.035376986220339e-17
2010-06-22,5.186961971048731e-13,5.0356169944867115e-17
2010-06-23,5.186961971048731e-13,5.037294311925648e-17
2010-06-24,5.186961971048731e-13,5.038835768765606e-17
2010-06-25,5.186961971048731e-13,5.037112177468407e-17
2010-06-28,1.269429006356404e-12,1.2313926845650644e-16
2010-06-29,1.269429006356404e-12,1.2325856971454996e-16
2010-06-30,1.269429006356404e-12,1.2320081453181262e-16
2010-07-01,2.4513724383723456e-13,2.378985731641457e-17
2010-07-02,2.4513724383723456e-13,2.379726806445454e-17
2010-07-05,2.8066438062523957e-13,2.7236362594072413e-17
2010-07-06,2.8066438062523957e-13,2.7182768751380207e-17
2010-07-07,2.8066438062523957e-13,2.717563884274211e-17
2010-07-08,2.8066438062523957e-13,2.7159604878305942e-17
2010-07-09,2.8066438062523957e-13,2.7137765347517216e-17
2010-07-12,1.3571366253017914e-12,1.3108274698177092e-16
2010-07-13,1.3571366253017914e-12,1.3098858747190397e-16
2010-07-14,1.3571366253017914e-12,1.3081386724908738e-16
2010-07-15,1.3571366253017914e-12,1.3083402248535378e-16
2010-07-16,1.3571366253017914e-12,1.3076746600268436e-16
2010-07-19,3.844702334276917e-13,3.701009939311885e-17
2010-07-20,3.844702334276917e-13,3.698620111596153e-17
2010-07-21,3.844702334276917e-13,3.6976930112370305e-17
2010-07-22,3.844702334276917e-13,3.6962358196809023e-17
2010-07-23,3.844702334276917e-13,3.6954937656859574e-17
2010-07-26,2.367883666920534e-12,2.2762052509560865e-16
2010-07-27,2.367883666920534e-12,2.2775565852967797e-16
2010-07-28,2.367883666920534e-12,2.2770912291284317e-16
2010-07-29,2.367883666920534e-12,2.2758291813075495e-16
2010-07-30,2.367883666920534e-12,2.2763307828769127e-16
2010-08-02,3.7054803669889225e-12,3.558599290377331e-16
2010-08-03,3.7054803669889225e-12,3.5608372189041447e-16
2010-08-04,3.7054803669889225e-12,3.558238830603568e-16
2010-08-05,3.7054803669889225e-12,3.558506139840893e-16
2010-08-06,3.7054803669889225e-12,3.555708936661464e-16
2010-08-09,4.502176409459935e-12,4.316860352666843e-16
2010-08-10,4.502176409459935e-12,4.320698780814323e-16
2010-08-11,4.502176409459935e-12,4.318131331651609e-16
2010-08-12,4.502176409459935e-12,4.3145434177897827e-16
2010-08-13,4.502176409459935e-12,4.308885576526172e-16
2010-08-16,2.8350655156827997e-12,2.710266135473365e-16
