,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010-02-09,0.310995275661305,0.6260247175936938,0.017187030649345215,0.017078314254164412,0.02871466184149173
2010-02-10,0.31084581533203753,0.6256352400791493,0.017416051822529737,0.017300855789809895,0.028802036976473464
2010-02-11,0.3109192697142145,0.6255093502901156,0.017443604004237036,0.017333896545159034,0.0287938794462738
2010-02-12,0.3107330645303144,0.6251574853238306,0.017597673275979272,0.017468092533999974,0.029043684335876025
2010-02-22,0.3107819640591184,0.625858416580355,0.017022587716382716,0.016907858293669774,0.029429173350474038
2010-02-23,0.31099402114216695,0.6262458374076705,0.016851822469701447,0.01661346299339552,0.029294855987065566
2010-02-24,0.3110537874454209,0.6261403278712021,0.01708258126976145,0.016779946081142808,0.02894335733247262
2010-02-25,0.31120248678168183,0.6258231547376104,0.01731138648109522,0.01698887752358562,0.028674094476026854
2010-02-26,0.3114436499819843,0.6255400046073666,0.01720245384171472,0.016874097038710182,0.02893979453022399
2010-03-01,0.37124226401962573,0.5729273773700346,0.015121218766891672,0.015060105511005483,0.02564903433244264
2010-03-02,0.3714217213058966,0.5729108387830162,0.015056411398363076,0.01499737684708198,0.02561365166564233
2010-03-03,0.37144795691946925,0.5724116443899001,0.015135991170791672,0.01503163226758387,0.025972775252255213
2010-03-04,0.37139656523700537,0.5731209875965269,0.014768579184316961,0.014723154904101124,0.025990713078049944
2010-03-05,0.3713933873040206,0.5731024257870386,0.014797905227651384,0.014749903429717158,0.025956378251572418
2010-03-08,0.3712883587336552,0.5732384165806896,0.01502514881943155,0.014904510091798013,0.0255435657744255
2010-03-09,0.3714096867936959,0.5733254148583354,0.015117233610498066,0.015022108113738615,0.025125556623732104
2010-03-10,0.3712621089253948,0.5735527293469993,0.014988142918685731,0.014948190258924892,0.025248828549995193
2010-03-11,0.3708786018774758,0.5742050702779858,0.014981277434417059,0.01500415265740752,0.02493089775271384
2010-03-12,0.37085842714804057,0.5744592662308853,0.014783879929278421,0.014839594880595173,0.025058831811200454
2010-03-15,0.3714129725430435,0.5739321893167958,0.01470074290708379,0.014598788249806491,0.02535530698327038
2010-03-16,0.3712093928959898,0.5737859668698155,0.01478632866698246,0.014723822579317175,0.025494488987895067
2010-03-17,0.3713035898864509,0.5728459532516308,0.015081782625628115,0.014993320941479418,0.025775353294810777
2010-03-18,0.3715275924086329,0.5728904275741861,0.015049310443410863,0.01491125606899721,0.025621413504772924
2010-03-19,0.37133582561963197,0.5728470333473454,0.015162094907489605,0.01500428274618864,0.025650763379344153
2010-03-22,0.37128424543507177,0.5737122713101757,0.014971492317901606,0.014860864352236929,0.02517112658461442
2010-03-23,0.37130593164159126,0.5740406672786965,0.014853222512649268,0.014707214179867053,0.02509296438719631
2010-03-24,0.37130237390073484,0.5740514206914219,0.014851540129268221,0.01469953490771317,0.025095130370862133
2010-03-25,0.37130006592658005,0.5745898386524344,0.014647900559914096,0.01450077997880414,0.02496141488226756
2010-03-26,0.37084704467352486,0.5745111328794438,0.014852375281351216,0.014712432871636228,0.025077014294044284
2010-03-29,0.3708683353494791,0.5729664513538358,0.0152890344391219,0.015257973943575687,0.02561820491398711
2010-03-30,0.3705210156862887,0.5732063790567277,0.015331667078903717,0.015292678264923322,0.025648259913156498
2010-03-31,0.37076878148779097,0.5732257448743847,0.015231513825054999,0.015174404699072247,0.025599555113697013
2010-04-01,0.37099152302767263,0.570389616464347,0.015994595762506874,0.015706290815382527,0.026917973930090867
2010-04-02,0.3706283768612691,0.5705346781252782,0.016060666051131777,0.01571700445143785,0.027059274510883094
2010-04-06,0.3711319143524646,0.5706599859533483,0.01577440140505494,0.015536843760322164,0.02689685452880974
2010-04-07,0.3708782036636192,0.5708124203377666,0.01570231901018697,0.015442419040881113,0.027164637947545985
2010-04-08,0.37066603415187355,0.5712115285808446,0.01553323645511749,0.0152200642287031,0.02736913658346094
2010-04-09,0.3703586687436202,0.5710126979714307,0.015671802042042007,0.015339814704319764,0.027617016538587155
2010-04-12,0.37112047977934165,0.5708130535030248,0.015666772703087032,0.015370079877227702,0.027029614137318567
2010-04-13,0.37125683421402944,0.5704654592408452,0.01584169880618428,0.015671790502914253,0.026764217236026677
2010-04-14,0.3711279118843703,0.5705110325931451,0.01589447088052603,0.015680350769104515,0.02678623387285412
2010-04-15,0.3711450084650488,0.570567674412311,0.01584774497594499,0.015676063836918348,0.026763508309776887
2010-04-16,0.3713690433307059,0.5707743215609805,0.015671255037973387,0.015429996158308146,0.026755383912031992
2010-04-19,0.3722193039073067,0.5716584555656754,0.014964923355776111,0.01477709500648075,0.02638022216476104
2010-04-20,0.37231202911191746,0.5714866747728762,0.014937394974798226,0.014723481515159413,0.0265404196252488
2010-04-21,0.3720018175239238,0.571237166650361,0.01522143558798417,0.01493394104278949,0.026605639194941647
2010-04-22,0.37217321107085405,0.5714100924494674,0.015056279325722201,0.01465197842226238,0.026708438731694005
