,RP_a_2_b_4
2010-10-29,1.043478580733903
2010-11-01,1.0449224944674478
2010-11-02,1.0434220268446202
2010-11-03,1.0406260217444017
2010-11-04,1.039931772667802
2010-11-05,1.0405998390726596
2010-11-08,1.0406700208650563
2010-11-09,1.0403044318049095
2010-11-10,1.0368941058318604
2010-11-11,1.0356784966819954
2010-11-12,1.0318529069361224
2010-11-15,1.031213869542801
2010-11-16,1.0293970870975095
2010-11-17,1.0288696148962935
2010-11-18,1.0304681713324353
2010-11-19,1.0297556296849455
2010-11-22,1.0275162861247709
2010-11-23,1.0255936209728336
2010-11-24,1.025488934609031
2010-11-25,1.0252191938458357
2010-11-26,1.0236148211521494
2010-11-29,1.0239565799960912
2010-11-30,1.0234735696286799
2010-12-01,1.0254296744053875
2010-12-02,1.0264407394884407
2010-12-03,1.0265118745681898
2010-12-06,1.028169118669049
2010-12-07,1.0297526236665129
2010-12-08,1.0285674624219465
2010-12-09,1.02742398457574
2010-12-10,1.028383570846645
2010-12-13,1.030558153628327
2010-12-14,1.0307368530488867
2010-12-15,1.0308863477250254
2010-12-16,1.0308761984224826
2010-12-17,1.030974012335418
2010-12-20,1.0312299033671466
2010-12-21,1.0325145024880709
2010-12-22,1.032049143836602
2010-12-23,1.0314422161030188
2010-12-24,1.0311617636799117
2010-12-27,1.0279141530061895
2010-12-28,1.0268140502966676
2010-12-29,1.0276988307445882
2010-12-30,1.0284067251657598
2010-12-31,1.030146228214448
