date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2014-11-21,1.463,1.979,2.155016556,,,,,
2014-11-24,1.491,2.007,2.196260892,,,,,
2014-11-25,1.51,2.026,2.22424812,,,,,
2014-11-26,1.536,2.052,2.262546432,,,,,
2014-11-27,1.553,2.069,2.287587636,,,,,
2014-11-28,1.576,2.092,2.321466912,,,,,
2014-12-01,1.587,2.103,2.337670044,,,,,
2014-12-02,1.631,2.147,2.402482572,,,,,
2014-12-03,1.641,2.157,2.417212692,,,,,
2014-12-04,1.698,2.214,2.501174376,,,,,
2014-12-05,1.672,2.188,2.462876064,,,,,
2014-12-08,1.714,2.23,2.524742568,,,,,
2014-12-09,1.618,2.134,2.383333416,,,,,
2014-12-10,1.676,2.192,2.468768112,,,,,
2014-12-11,1.671,2.187,2.461403052,,,,,
2014-12-12,1.676,2.192,2.468768112,,,,,
2014-12-15,1.706,2.222,2.512958472,,,,,
2014-12-16,1.748,2.264,2.574824976,,,,,
2014-12-17,1.764,2.28,2.598393168,,,,,
2014-12-18,1.771,2.287,2.608704252,,,,,
2014-12-19,1.758,2.274,2.589555096,,,,,
2014-12-22,1.723,2.239,2.537999676,,,,,
2014-12-23,1.713,2.229,2.523269556,,,,,
2014-12-24,1.696,2.212,2.498228352,,,,,
2014-12-25,1.728,2.244,2.545364736,,,,,
2014-12-26,1.764,2.28,2.598393168,,,,,
2014-12-29,1.762,2.278,2.595447144,,,,,
2014-12-30,1.758,2.274,2.589555096,,,,,
2014-12-31,1.788,2.304,2.633745456,,,,,
2015-01-05,1.836,2.352,2.704450032,,,,,
2015-01-06,1.843,2.359,2.714761116,,,,,
2015-01-07,1.837,2.353,2.705923044,,,,,
2015-01-08,1.825,2.341,2.6882469,,,,,
2015-01-09,1.84,2.356,2.71034208,,,,,
2015-01-12,1.851,2.367,2.726545212,,,,,
2015-01-13,1.862,2.378,2.742748344,,,,,
2015-01-14,1.859,2.375,2.738329308,,,,,
2015-01-15,1.885,2.401,2.77662762,,,,,
2015-01-16,1.918,2.434,2.825237016,,,,,
2015-01-19,1.829,2.345,2.694138948,,,,,
2015-01-20,1.877,2.393,2.764843524,,,,,
2015-01-21,1.949,2.465,2.870900388,,,,,
2015-01-22,1.953,2.469,2.876792436,,,,,
2015-01-23,1.952,2.468,2.875319424,,,,,
2015-01-26,1.971,2.487,2.903306652,,,,,
2015-01-27,1.956,2.472,2.881211472,,,,,
2015-01-28,1.936,2.452,2.851751232,,,,,
2015-01-29,1.924,2.44,2.834075088,,,,,
2015-01-30,1.892,2.408,2.786938704,,,,,
2015-02-02,1.887,2.403,2.779573644,,,,,
2015-02-03,1.944,2.46,2.863535328,,,,,
2015-02-04,1.931,2.447,2.844386172,,,,,
2015-02-05,1.928,2.444,2.839967136,,,,,
2015-02-06,1.901,2.417,2.800195812,,,,,
