,中债-国债总财富(总值)指数,中债-信用债总财富(总值)指数,沪深300指数(全收益),上证50(全收益),SGE黄金9999
2010-02-09,0.3119515298774455,0.6247931019048458,0.017186873140696574,0.01713370474640831,0.028934790330603682
2010-02-10,0.31180108111468,0.6244033315336294,0.017415862674644955,0.017356938615720414,0.029022786061324846
2010-02-11,0.311874599710429,0.6242773663138607,0.017443405523150726,0.017390077470341096,0.029014550982218182
2010-02-12,0.3116870529802565,0.6239246541858291,0.017597429601831673,0.01752466514168718,0.029266198090395205
2010-02-22,0.31219955581596365,0.6248363222665468,0.017104808341811183,0.017012647838115808,0.028846665737562487
2010-02-23,0.3124124727602917,0.6252228954376494,0.016933212461910152,0.01671642222189105,0.02871499711825785
2010-02-24,0.31246952797503963,0.6251115892301182,0.017164921864913297,0.016883775842980314,0.02837018508694864
2010-02-25,0.3126161137359339,0.6247893604190147,0.017394674688979987,0.01709384751916142,0.02810600363691016
2010-02-26,0.3128599161037548,0.6245097594358697,0.01728530324293556,0.016978441608426178,0.02836657960901405
2010-03-01,0.37078650981016814,0.57340605401926,0.0151453662920797,0.015053882490717674,0.02560818738777436
2010-03-02,0.3709658415133888,0.5733896480308169,0.015080459281563674,0.014991183575082648,0.025572867599147904
2010-03-03,0.3709923818866,0.5728905567757685,0.015160179927183893,0.015025438496713265,0.025931442913734337
2010-03-04,0.370940990950158,0.5736003971457734,0.014792178297570395,0.014717085769896972,0.02594934783660121
2010-03-05,0.3709377876664367,0.5735817745818202,0.014821550033085308,0.014743822106746381,0.02591506561191106
2010-03-08,0.37078650981016814,0.57340605401926,0.0151453662920797,0.015053882490717674,0.02560818738777436
2010-03-09,0.3709074070895104,0.573492665233226,0.015238176900651698,0.015172648161813115,0.025189102614798585
2010-03-10,0.37076047217639635,0.5737207321223446,0.015108071504113633,0.015098007614008742,0.025312716583136136
2010-03-11,0.37037733118282706,0.5743730282186875,0.015101144882647381,0.015154524667818433,0.024993971048018915
2010-03-12,0.37035822195537005,0.5746289093965384,0.01490220974618709,0.01498835970589902,0.025122299196004623
2010-03-15,0.37078650981016814,0.57340605401926,0.0151453662920797,0.015053882490717674,0.02560818738777436
2010-03-16,0.3705801785159051,0.5732551778835431,0.015233413362899328,0.015182687765276183,0.025748542472376318
2010-03-17,0.37066649076156,0.5723041064225352,0.015537476955322599,0.015460262785615188,0.026031663074967046
2010-03-18,0.3708921466534749,0.5723516832419847,0.015504108811167129,0.015375726616234242,0.02587633467713904
2010-03-19,0.3706981252339669,0.5723043426298033,0.015620192858764335,0.01547154319148837,0.02590579608597698
2010-03-22,0.37078650981016814,0.57340605401926,0.0151453662920797,0.015053882490717674,0.02560818738777436
2010-03-23,0.3708099953111484,0.5737371036540652,0.015025797028566159,0.014898310115458436,0.02552879389076198
2010-03-24,0.3708064729660554,0.5737478987953342,0.015024096339755332,0.014890532294427463,0.025530999604427777
2010-03-25,0.3708069686325296,0.5742903694628532,0.01481820265083463,0.014689305799651256,0.02539515345413145
2010-03-26,0.37035166753527377,0.5742072371708481,0.015024937774104139,0.014903594453628693,0.025512563066145254
2010-03-29,0.37078650981016814,0.57340605401926,0.0151453662920797,0.015053882490717674,0.02560818738777436
2010-03-30,0.3704394949150597,0.5736465190890545,0.015187607674468964,0.015088131897405712,0.025638246424011177
2010-03-31,0.3706862786007915,0.5736644642422616,0.015088357723567928,0.01497140282870484,0.02558949660467392
2010-04-01,0.3712010898177828,0.570613190476792,0.015813049153947534,0.015567901642558385,0.026804768908919318
2010-04-02,0.3708383269819136,0.5707592147076516,0.01587839470863622,0.015578545600903387,0.026945518000895174
2010-04-06,0.3712010898177828,0.570613190476792,0.015813049153947534,0.015567901642558385,0.026804768908919318
2010-04-07,0.37094782963139034,0.5707663782985176,0.015740811278393788,0.01547330893406965,0.027071671857628442
2010-04-08,0.3707362250150225,0.5711663860075753,0.015571339637816106,0.01525053421539365,0.027275515124192063
2010-04-09,0.3704289165222721,0.5709677485533028,0.015710250009825812,0.015370529203637552,0.027522555710961627
2010-04-12,0.3712010898177828,0.570613190476792,0.015813049153947534,0.015567901642558385,0.026804768908919318
2010-04-13,0.3713345494435921,0.5702612268575763,0.015989482570765934,0.01587337044756345,0.02654137068050224
2010-04-14,0.3712054606325734,0.5703065695805937,0.016042740915670952,0.015882034852762607,0.026563194018399263
2010-04-15,0.3712226790262867,0.5703633727704133,0.015995584227866958,0.015877697838434127,0.026540666136998615
2010-04-16,0.37144853293655006,0.5705726680958138,0.015817523328350375,0.01562853966730181,0.026532735971983915
2010-04-19,0.3712010898177828,0.570613190476792,0.015813049153947534,0.015567901642558385,0.026804768908919318
2010-04-20,0.3712942262660648,0.5704427453023638,0.015783988887835054,0.015511446764666642,0.02696759277906953
2010-04-21,0.3709738391732388,0.5701767500691893,0.01608364989904952,0.015732702079517342,0.027033058779004988
2010-04-22,0.3711535107209076,0.5703628037427136,0.01590951354152316,0.015436022299832675,0.027138149695022845
2010-04-23,0.3712864687008415,0.5705543142897938,0.01584232222668323,0.015348501203657418,0.02696839357902406
2010-04-26,0.3712010898177828,0.570613190476792,0.015813049153947534,0.015567901642558385,0.026804768908919318
2010-04-27,0.37141529010650276,0.5710563784183098,0.015501710664730353,0.015297475095151725,0.026729145715305415
2010-04-28,0.37149437436733074,0.5709247544666085,0.015439145624724714,0.015251462740005897,0.02689026280133023
2010-04-29,0.3715277662941886,0.5709833532195592,0.015251824504123174,0.01523461387382526,0.02700244210830368
2010-04-30,0.3714598129137139,0.570760615074101,0.015280907848643376,0.015405057679927435,0.02709360648361403
2010-05-04,0.35905207986654797,0.5816496150134017,0.01598235193072087,0.01564605429830579,0.027669898891023406
2010-05-05,0.3590006220537911,0.5817368380592184,0.016074466528750882,0.015649370398234993,0.027538702960004463
2010-05-06,0.3595712745886898,0.5825118595912911,0.015357061551841513,0.014912586011576497,0.02764721825660077
2010-05-07,0.36000831267685496,0.5820531377022579,0.015012119401262503,0.014686880248081005,0.028239549971543484
2010-05-10,0.35905207986654797,0.5816496150134017,0.01598235193072087,0.01564605429830579,0.027669898891023406
2010-05-11,0.3592654708086408,0.5818313113650044,0.015665214901385813,0.015339216787700035,0.027898786137268636
2010-05-12,0.359134292558847,0.5811196243408977,0.01574046254760432,0.015577295146838366,0.028428325405812138
2010-05-13,0.3588561566392509,0.5806581127341005,0.016102648650406823,0.015870479469457882,0.028512602506783426
2010-05-14,0.3589405110418777,0.5808649867685106,0.016001467600106012,0.01570325969880033,0.028489774890704936
2010-05-17,0.35905207986654797,0.5816496150134017,0.01598235193072087,0.01564605429830579,0.027669898891023406
2010-05-18,0.3591830323996075,0.5814446526136391,0.01629806078191092,0.01595442719217874,0.02711982701266353
2010-05-19,0.3594327703248145,0.581432843295732,0.01622364758470896,0.015835320273619637,0.027075418521124685
2010-05-20,0.35948296440027877,0.5823256431407002,0.016032337974657047,0.015606135264825885,0.02655291921953775
2010-05-21,0.35947412330772555,0.5821153319212122,0.016274559474751444,0.01574453147471075,0.02639145382159987
2010-05-24,0.35905207986654797,0.5816496150134017,0.01598235193072087,0.01564605429830579,0.027669898891023406
2010-05-25,0.3594494253123905,0.5819966554082088,0.01566086600618758,0.015270631488280987,0.027622421784932197
2010-05-26,0.3592504341214902,0.5818216992240074,0.015651551958230255,0.015257427806248393,0.028018886890023666
2010-05-27,0.35898143759576906,0.5815385724913652,0.015912322709552854,0.01546602067596668,0.02810164652734606
2010-05-28,0.35890733607218656,0.5816679068803335,0.015862065493607375,0.015395565751542915,0.028167125802329454
2010-05-31,0.35905207986654797,0.5816496150134017,0.01598235193072087,0.01564605429830579,0.027669898891023406
2010-06-01,0.3437651581388116,0.5972603824386135,0.015745508087068583,0.015516871540106858,0.027712079795399497
2010-06-02,0.343805453272983,0.5971078303181735,0.015817055352427663,0.015483887968979442,0.02778577308743607
2010-06-03,0.3439510924685429,0.5971753779864787,0.015687956436493525,0.015375987409286723,0.027809585699197753
2010-06-04,0.34410997822867195,0.5973946611007758,0.015740938538135407,0.015378194517046724,0.027376227615369675
2010-06-07,0.3437651581388116,0.5972603824386135,0.015745508087068583,0.015516871540106858,0.027712079795399497
2010-06-08,0.34350405524844035,0.5970676069395312,0.015760996439456925,0.015441404101517162,0.02822593727105436
2010-06-09,0.3428885560765929,0.5968222721896105,0.016235403215924395,0.01594597739406175,0.028107791123810615
2010-06-10,0.34293974209044886,0.5973632127957381,0.01606363963477251,0.015684695881501415,0.02794870959753934
2010-06-11,0.3428209940427888,0.5973876820625669,0.016125457675483137,0.01577393197117497,0.027891934247986437
